unigram,frequency,percentage
लगायतका,33457,0.03564252856664983
यसरी,33381,0.035561563980133847
३०,33364,0.03554345348051843
तयारी,33179,0.03534636863176241
पर्छ,33165,0.03533145410266736
वर्षमा,33016,0.03517272090015575
प्रहरी,32987,0.03514182651845886
बारेमा,32913,0.03506299257895645
सम्म,32908,0.035057665961422506
हुनेछ,32885,0.035033163520766346
गरिरहेको,32835,0.034979897345426884
पैसा,32755,0.034894671464883745
गाउँ,32720,0.03485738514214611
नं,32693,0.034828621407462804
११,32686,0.03482116414291528
सहज,32644,0.03477642055563013
देशको,32555,0.03468160676352588
त्यहाँ,32425,0.03454311470764327
किसानले,32263,0.034370532299543406
व्यवसाय,32164,0.03426506527237126
पछिल्लो,32137,0.034236301537687946
भारत,32131,0.034229909596647214
यस्ता,32071,0.03416599018623986
भारतीय,31987,0.034076503011669555
गरिरहेका,31967,0.034055196541533765
घोषणा,31739,0.033812302781985805
होला,31666,0.03373453416599019
विस्तार,31661,0.033729207548456236
नेकपा,31590,0.0336535695794742
भन्नुभयो,31561,0.033622675197777306
हाल,31497,0.033554494493342794
यसलाई,31478,0.0335342533467138
साना,31365,0.03341387179044661
आम्दानी,31357,0.03340534920239229
रोजगारी,31310,0.03335527899757319
गरि,31169,0.0332050683831159
आफ्ना,31032,0.033059119062685764
अधिकार,30838,0.03285244630236864
क्षेत्रका,30817,0.03283007450872607
बताएका,30754,0.03276295912779834
जीवन,30653,0.03265536145361262
सम्भावना,30541,0.03253604522085222
पाउने,30468,0.0324582766048566
प्राविधिक,30419,0.03240607575302392
प्रस्तुत,30418,0.032405010429517135
घरमा,30300,0.03227930225571599
१९,30227,0.03220153363972038
देशमा,30182,0.03215359408191486
थाहा,30166,0.03213654890580623
राष्ट्र,30157,0.03212696099424512
आयात,29944,0.031900047087299
हुँदैन,29860,0.03181055991272869
विकासका,29829,0.03177753488401823
अन्तर्राष्ट्रिय,29766,0.0317104195030905
सुधार,29684,0.03162306297553378
समिति,29680,0.031618801681506624
सूचना,29516,0.031444088626393175
वित्तीय,29505,0.031432370067818495
नम्बर,29460,0.031384430510012974
नाम,29333,0.031249134424650736
दिएका,29225,0.031134079485917492
सम्बन्धित,29221,0.031129818191890334
बाटो,29154,0.03105844151693545
विश्वास,28828,0.030711146053722136
थिए।,28802,0.030683447642545613
मन,28801,0.03068238231903882
सुरक्षा,28766,0.030645095996301195
सकेको,28721,0.030597156438495678
थालेको,28524,0.030387287707658184
लक्ष्य,28420,0.030276494062952096
दोस्रो,28244,0.03008899712575718
किसानलाई,28229,0.03007301727315534
व्यावसायिक,28191,0.030032534979897347
जस्तै,28172,0.030012293833268346
गर्छ,28160,0.029999509951186873
हुनु,28104,0.029939851834806675
